,LINK,sector,company_code,company_name
135,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/entertainmentnetworkindia/ENI,mediaentertainment,ENI,entertainmentnetworkindia
136,http://www.moneycontrol.com/india/stockpricequote/financegeneral/equitasholdings/EH03,financegeneral,EH03,equitasholdings
137,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/erosinternationalmedia/EIM,mediaentertainment,EIM,erosinternationalmedia
138,http://www.moneycontrol.com/india/stockpricequote/autotractors/escorts/E,autotractors,E,escorts
139,http://www.moneycontrol.com/india/stockpricequote/packaging/esselpropack/EP11,packaging,EP11,esselpropack
140,http://www.moneycontrol.com/india/stockpricequote/drycells/evereadyindustriesindia/EII02,drycells,EII02,evereadyindustriesindia
141,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI,autoancillaries,EI,exideindustries
142,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC,pharmaceuticals,FDC,fdc
143,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/federalbank/FB,banksprivatesector,FB,federalbank
144,http://www.moneycontrol.com/india/stockpricequote/cablestelephone/finolexcables/FC01,cablestelephone,FC01,finolexcables
145,http://www.moneycontrol.com/india/stockpricequote/petrochemicals/finolexindustries/FI,petrochemicals,FI,finolexindustries
146,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/firstsourcesolutions/FS07,computerssoftwaremediumsmall,FS07,firstsourcesolutions
147,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/forcemotors/FM01,autolcvshcvs,FM01,forcemotors
148,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/fortishealthcare/FH,hospitalsmedicalservices,FH,fortishealthcare
149,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/futureconsumer/FVI,foodprocessing,FVI,futureconsumer
150,http://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01,retail,FLF01,futurelifestylefashions
151,http://www.moneycontrol.com/india/stockpricequote/retail/futureretail/FR,retail,FR,futureretail
152,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI,oildrillingandexploration,GAI,gailindia
153,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/gatewaydistriparks/GD01,miscellaneous,GD01,gatewaydistriparks
154,http://www.moneycontrol.com/india/stockpricequote/couriers/gati/G04,couriers,G04,gati
155,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gayatriprojects/GP10,constructioncontractingcivil,GP10,gayatriprojects
156,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/gepowerindia/AP29,powertransmissionequipment,AP29,gepowerindia
157,http://www.moneycontrol.com/india/stockpricequote/shipping/greateasternshippingcompany/GES,shipping,GES,greateasternshippingcompany
158,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/getdindia/ATD,powertransmissionequipment,ATD,getdindia
159,http://www.moneycontrol.com/india/stockpricequote/financehousing/gichousingfinance/GIC,financehousing,GIC,gichousingfinance
160,http://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22,personalcare,GI22,gilletteindia
161,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04,foodprocessing,GSC04,glaxosmithklineconsumerhealthcare
162,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,pharmaceuticals,GSK,glaxosmithklinepharmaceuticals
163,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,pharmaceuticals,GP08,glenmarkpharma
164,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/gmrinfrastructure/GI27,infrastructuregeneral,GI27,gmrinfrastructure
165,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV,fertilisers,GNV,gujaratnarmadavalleyfertilizerschemicals
166,http://www.moneycontrol.com/india/stockpricequote/cigarettes/godfreyphillipsindia/GPI,cigarettes,GPI,godfreyphillipsindia
167,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP,personalcare,GCP,godrejconsumerproducts
168,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejindustries/GI23,personalcare,GI23,godrejindustries
169,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/godrejproperties/GP11,constructioncontractingrealestate,GP11,godrejproperties
170,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25,pharmaceuticals,GI25,granulesindia
171,http://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01,diversified,GI01,grasimindustries
