,LINK,company_code,company_category,company_name,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,sector
65,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,BHE,infrastructuregeneral,bharatheavyelectricals,87.96,79.00%,2.10%,2.20,2.00,23.24,"27,608.93",1,17.33,34.18,0.85,INFRASTRUCTURE - GENERAL
66,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03,BL03,pharmaceuticals,biocon,60.12,20.00%,0.16%,3.98,5.00,29.05,"37,425.00",1,99.96,156.72,10.38,PHARMACEUTICALS
67,http://www.moneycontrol.com/india/stockpricequote/cementmajor/birlacorporation/BC07,BC07,cementmajor,birlacorporation,427.15,65.00%,0.89%,14.95,10.00,36.29,"5,631.02",1,21.56,48.91,1.71,CEMENT - MAJOR
68,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/blissgvspharma/BGV,BGV,pharmaceuticals,blissgvspharma,53.16,60.00%,0.32%,5.53,1.00,29.05,"1,919.04",1,30.60,33.64,3.50,PHARMACEUTICALS
69,http://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE,BDE,couriers,bluedartexpress,279.75,150.00%,0.41%,59.89,10.00,52.73,"8,579.31",1,45.86,60.37,12.92,COURIERS
70,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS,BS,consumergoodswhitegoods,bluestar,95.45,375.00%,1.16%,14.76,2.00,20.53,"6,239.23",1,30.81,43.96,6.80,CONSUMER GOODS - WHITE GOODS
71,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/bombayburmahtradingcorporation/BBT,BBT,plantationsteacoffee,bombayburmahtradingcorporation,43.18,50.00%,0.06%,-,2.00,32.14,"10,738.94",1,-,-,35.64,PLANTATIONS - TEA & COFFEE
72,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/bombaydyeingmanufacturingcompany/BDM,BDM,textilesprocessing,bombaydyeingmanufacturingcompany,21.20,35.00%,0.32%,1.67,2.00,50.95,"4,583.01",1,71.35,132.87,10.47,TEXTILES - PROCESSING
73,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05,B05,autoancillaries,bosch,3332.27,1650.00%,0.91%,449.12,10.00,35.63,"55,379.88",1,30.13,40.40,5.45,AUTO ANCILLARIES
74,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,BPC,refineries,bharatpetroleumcorporation,137.83,310.00%,7.53%,36.51,10.00,8.41,"89,340.67",1,8.45,11.28,2.99,REFINERIES
75,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI,BI,foodprocessing,britanniaindustries,294.01,1100.00%,0.36%,78.95,2.00,64.74,"73,575.85",1,68.91,77.62,20.84,FOOD PROCESSING
76,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,CHC,pharmaceuticals,cadilahealthcare,75.30,320.00%,0.80%,10.66,1.00,29.05,"40,796.14",1,29.47,37.38,5.29,PHARMACEUTICALS
77,http://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,CFH,financehousing,canfinhomes,80.83,100.00%,0.56%,22.66,2.00,23.49,"4,734.37",1,15.53,15.69,4.40,FINANCE - HOUSING
78,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/canarabank/CB06,CB06,bankspublicsector,canarabank,330.40,10.00%,0.37%,-,10.00,12.43,"19,786.61",1,-,-,0.82,BANKS - PUBLIC SECTOR
79,http://www.moneycontrol.com/india/stockpricequote/financegeneral/capitalfirst/FCH,FCH,financegeneral,capitalfirst,257.66,28.00%,0.48%,33.04,10.00,36.62,"5,750.03",1,16.20,17.58,2.25,FINANCE - GENERAL
80,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL,CPL,pharmaceuticals,caplinpointlaboratories,39.43,75.00%,0.32%,13.53,2.00,29.05,"3,548.07",1,29.26,34.69,11.90,PHARMACEUTICALS
81,http://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU,CU,abrasives,carborundumuniversal,63.41,175.00%,0.53%,7.59,1.00,41.14,"6,236.61",1,28.69,43.47,5.20,ABRASIVES
82,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/creditanalysisresearch/CAR,CAR,miscellaneous,creditanalysisresearch,224.04,280.00%,2.06%,54.66,10.00,51.31,"4,006.73",1,24.43,24.88,6.07,MISCELLANEOUS
83,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01,CI01,lubricants,castrolindia,10.31,140.00%,4.11%,7.02,5.00,26.30,"16,854.65",1,22.78,24.27,16.53,LUBRICANTS
84,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10,CC10,plantationsteacoffee,cclproductsindia,48.35,175.00%,1.25%,7.35,2.00,32.14,"3,724.12",1,34.18,38.09,5.79,PLANTATIONS - TEA & COFFEE
85,http://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07,C07,tyres,ceat,639.03,115.00%,0.86%,69.09,10.00,27.04,"5,404.33",1,12.25,19.34,2.09,TYRES
86,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/centralbankindia/CBO01,CBO01,bankspublicsector,centralbankindia,68.70,0.00%,-%,-,10.00,12.43,"19,675.44",1,-,-,1.09,BANKS - PUBLIC SECTOR
87,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,CTI,diversified,centurytextilesindustries,255.47,55.00%,0.60%,33.27,10.00,22.07,"10,211.78",1,14.90,27.48,3.58,DIVERSIFIED
88,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9,CP9,miscellaneous,centuryplyboards,31.84,100.00%,0.38%,7.04,1.00,39.23,"5,805.73",1,24.43,37.06,8.19,MISCELLANEOUS
89,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18,CS18,ceramicsgranite,cerasanitaryware,478.75,240.00%,0.41%,77.08,5.00,25.51,"3,797.72",1,30.97,37.88,6.10,CERAMICS & GRANITE
90,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES,CES,powergenerationdistribution,cesc,1070.79,100.00%,1.01%,65.71,10.00,11.73,"13,162.91",1,10.09,15.11,0.93,POWER - GENERATION & DISTRIBUTION
91,http://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01,CGC01,electricals,cromptongreavesconsumerelectrical,13.77,0.00%,-%,5.17,2.00,47.97,"13,962.21",1,41.48,43.09,16.18,ELECTRICALS
92,http://www.moneycontrol.com/india/stockpricequote/electricequipment/cgpowerindustrialsolutions/CG,CG,electricequipment,cgpowerindustrialsolutions,61.82,0.00%,-%,-,2.00,47.97,"3,528.58",1,-,-,0.91,ELECTRIC EQUIPMENT
93,http://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC,CFC,fertilisers,chambalfertiliserschemicals,72.45,19.00%,1.18%,11.54,10.00,14.80,"6,719.68",1,12.37,13.99,2.23,FERTILISERS
94,http://www.moneycontrol.com/india/stockpricequote/refineries/chennaipetroleumcorporation/CPC02,CPC02,refineries,chennaipetroleumcorporation,283.84,210.00%,6.99%,61.31,10.00,8.41,"4,476.28",1,3.57,4.90,1.06,REFINERIES
95,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB,CDB,financeleasinghirepurchase,cholamandalaminvestmentfinancecompany,338.17,55.00%,0.34%,62.31,10.00,36.62,"25,254.92",1,24.67,25.93,4.78,FINANCE - LEASING & HIRE PURCHASE
96,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C,C,pharmaceuticals,cipla,177.23,100.00%,0.33%,18.24,2.00,29.05,"49,277.70",1,24.66,33.55,3.45,PHARMACEUTICALS
97,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/cityunionbank/CUB,CUB,banksprivatesector,cityunionbank,53.49,30.00%,0.16%,8.90,1.00,32.64,"12,448.75",1,21.00,21.02,3.50,BANKS - PRIVATE SECTOR
