,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,company_code
0,40.42,25.00%,0.28%,5.48,1.00,29.05,"2,260.42",1,10.51,16.25,2.20,GI25
0,247.47,275.00%,0.53%,26.90,2.00,22.07,"67,808.36",1,28.30,38.34,4.17,GI01
0,46.01,275.00%,4.13%,8.30,2.00,25.13,"3,251.61",1,12.75,16.04,2.89,GC20
0,75.25,60.00%,0.24%,11.07,1.00,28.52,"3,054.65",1,16.92,22.50,3.31,GI19
0,93.18,80.00%,0.76%,13.29,5.00,41.14,"5,811.14",1,30.69,39.49,5.63,GN
0,18.88,165.00%,1.02%,4.96,2.00,23.49,"23,592.60",1,64.51,65.03,17.08,GRU
0,176.95,110.00%,1.93%,11.94,2.00,14.80,"4,542.64",1,7.64,9.55,0.64,GSF
0,529.95,50.00%,0.84%,72.85,10.00,9.86,"4,391.53",1,6.63,8.21,1.13,GAC01
0,320.78,350.00%,0.47%,44.36,1.00,24.63,"8,232.71",1,12.87,16.89,2.34,GF07
0,166.48,50.00%,1.83%,37.41,10.00,9.86,"2,659.17",1,5.61,7.30,1.64,GHC
0,138.68,150.00%,2.40%,13.67,2.00,15.10,"3,973.41",1,7.27,9.14,0.90,GMD
0,91.60,15.00%,0.80%,11.86,10.00,15.50,"10,557.78",1,12.52,15.79,2.04,GSP02
0,140.64,30.00%,0.37%,21.16,10.00,26.07,"11,308.87",1,20.08,38.82,5.84,GGC
0,45.88,38.00%,3.28%,4.11,10.00,20.06,"5,598.23",1,18.53,28.18,2.52,GPP03
0,103.07,425.00%,0.98%,31.90,2.00,26.30,"4,297.30",1,25.43,27.11,8.39,GOL01
0,12.71,0.00%,-%,0.94,2.00,35.36,"2,420.89",1,13.82,31.01,2.29,HCD
0,59.73,400.00%,0.57%,5.62,1.00,64.74,"11,383.00",1,43.03,125.28,11.79,HAP
0,63.73,350.00%,0.63%,11.39,1.00,47.97,"34,691.85",1,40.72,48.70,8.70,HI01
0,34.06,0.00%,-%,-,2.00,29.54,"1,287.21",1,-,-,1.15,HCL
0,186.49,600.00%,1.27%,52.87,2.00,21.82,"131,914.73",1,15.98,17.92,5.08,HCL02
0,235.77,900.00%,0.98%,72.45,2.00,23.49,"307,783.45",1,25.18,25.28,7.77,HDF
0,408.32,650.00%,0.64%,67.17,2.00,32.64,"528,652.06",1,28.74,30.23,4.97,HDF01
0,263.04,0.00%,-%,2.20,10.00,30.60,993.87,1,9.74,10.41,0.09,HDI
0,48.55,0.00%,-%,5.88,10.00,36.29,"3,093.27",1,13.20,23.21,2.81,HCI02
0,78.42,40.00%,0.29%,11.22,5.00,64.74,"3,210.51",1,36.06,61.67,8.82,HFI
0,691.43,4250.00%,2.30%,185.14,2.00,22.15,"73,676.55",1,17.32,19.93,5.34,HHM
0,51.93,200.00%,0.90%,13.92,2.00,21.82,"13,223.01",1,28.59,32.00,8.58,HT02
0,9.67,0.00%,-%,1.25,1.00,37.77,"4,120.93",1,24.09,26.60,3.44,HFC
0,129.27,50.00%,0.75%,20.93,5.00,13.50,"3,299.79",1,12.63,16.01,2.59,HS
0,27.26,0.00%,-%,0.76,1.00,30.60,"1,476.48",1,7.38,19.13,0.53,HCC
0,16.72,0.00%,-%,0.86,5.00,22.18,"6,615.31",1,27.08,83.14,4.28,HC07
