company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
AL,autolcvshcvs,ashokleyland,26.23,156,1.1,5.32,1,37.26,41722.83,1,19.72,26.72,5.42,AUTO - LCVS & HCVS
EM,autolcvshcvs,eichermotors,2067.67,1000,0.34,628.46,10,37.26,80526.52,1,41.61,47.01,14.29,AUTO - LCVS & HCVS
FM01,autolcvshcvs,forcemotors,1375.47,100,0.37,111.53,10,37.26,3599.1,1,13.03,24.49,1.99,AUTO - LCVS & HCVS
SM,autolcvshcvs,smlisuzu,284.01,0,,5.87,10,37.26,1136.02,1,30.78,133.73,2.76,AUTO - LCVS & HCVS
AB,constructioncontractingcivil,ashokabuildcon,112.28,32,0.68,13.47,5,30.6,4435.43,1,14.53,17.59,2.11,CONSTRUCTION & CONTRACTING - CIVIL
DB04,constructioncontractingcivil,dilipbuildcon,180.83,10,0.12,45.35,10,30.6,11391.55,1,12.72,18.37,4.61,CONSTRUCTION & CONTRACTING - CIVIL
GP10,constructioncontractingcivil,gayatriprojects,49.74,0,,10.05,2,30.6,3280.66,1,13.51,17.44,3.52,CONSTRUCTION & CONTRACTING - CIVIL
HCC,constructioncontractingcivil,hindustanconstructioncompany,27.26,0,,0.76,1,30.6,1476.48,1,7.38,19.13,0.53,CONSTRUCTION & CONTRACTING - CIVIL
ITD03,constructioncontractingcivil,itdcementationindia,36.03,40,0.28,4.92,1,30.6,2456.56,1,17.59,29.07,3.97,CONSTRUCTION & CONTRACTING - CIVIL
KI01,constructioncontractingcivil,jkumarinfraprojects,201.62,40,0.77,18.05,5,30.6,1967.3,1,9.4,14.4,1.29,CONSTRUCTION & CONTRACTING - CIVIL
