,LINK,company_code,company_category,company_name
188,http://www.moneycontrol.com/india/stockpricequote/computershardware/hclinfosystems/HCL,HCL,computershardware,hclinfosystems
189,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02,HCL02,computerssoftware,hcltechnologies
190,http://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF,HDF,financehousing,housingdevelopmentfinancecorporation
191,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01,HDF01,banksprivatesector,hdfcbank
192,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingdevelopmentinfrastructure/HDI,HDI,constructioncontractingrealestate,housingdevelopmentinfrastructure
193,http://www.moneycontrol.com/india/stockpricequote/cementmajor/heidelbergcementindia/HCI02,HCI02,cementmajor,heidelbergcementindia
194,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/heritagefoods/HFI,HFI,foodprocessing,heritagefoods
195,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/heromotocorp/HHM,HHM,auto23wheelers,heromotocorp
196,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hexawaretechnologies/HT02,HT02,computerssoftware,hexawaretechnologies
197,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/himachalfuturisticcommunication/HFC,HFC,telecommunicationsequipment,himachalfuturisticcommunication
198,http://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/himatsingkaseide/HS,HS,textilessyntheticsilk,himatsingkaseide
199,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/hindustanconstructioncompany/HCC,HCC,constructioncontractingcivil,hindustanconstructioncompany
200,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustancopper/HC07,HC07,metalsnonferrous,hindustancopper
201,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ,HZ,metalsnonferrous,hindustanzinc
202,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI,HI,aluminium,hindalcoindustries
203,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/honeywellautomation/HA04,HA04,telecommunicationsequipment,honeywellautomation
204,http://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,HPC,refineries,hindustanpetroleumcorporation
205,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/hsil/HSI02,HSI02,ceramicsgranite,hsil
206,http://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU,HU,personalcare,hindustanunilever
207,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02,ICI02,banksprivatesector,icicibank
208,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iciciprudentiallifeinsurancecompany/IPL01,IPL01,financegeneral,iciciprudentiallifeinsurancecompany
209,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/icra/ICR,ICR,miscellaneous,icra
210,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/idbibank/IDB05,IDB05,bankspublicsector,idbibank
211,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/ideacellular/IC8,IC8,telecommunicationsservice,ideacellular
212,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/idfc/IDF,IDF,financetermlendinginstitutions,idfc
213,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/idfcbank/IDF01,IDF01,banksprivatesector,idfcbank
214,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ifci/IFC02,IFC02,financetermlendinginstitutions,ifci
215,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04,IG04,oildrillingandexploration,indraprasthagas
216,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflholdings/II15,II15,financegeneral,iiflholdings
217,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/ilandfstransportationnetworks/ITN,ITN,infrastructuregeneral,ilandfstransportationnetworks
218,http://www.moneycontrol.com/india/stockpricequote/cementmajor/indiacements/IC,IC,cementmajor,indiacements
219,http://www.moneycontrol.com/india/stockpricequote/financehousing/indiabullshousingfinance/IHF01,IHF01,financehousing,indiabullshousingfinance
